"ISO8748def"
"Dia","d_1","d_2","a","s"
"1.5 mm",1.66,1.4,0.5,0.17
"2 mm",2.16,1.9,0.7,0.22
"2.5 mm",2.675,2.4,0.7,0.28
"3 mm",3.185,2.9,0.9,0.33
"3.5 mm",3.715,3.4,1,0.39
"4 mm",4.225,3.9,1.1,0.45
"5 mm",5.25,4.85,1.3,0.56
"6 mm",6.29,5.85,1.5,0.67
"8 mm",8.4,7.8,2,0.9
"10 mm",10.475,9.75,2.5,1.1
"12 mm",12.55,11.7,3,1.3
"14 mm",14.625,13.6,3.5,1.6
"16 mm",16.65,15.6,4,1.8
"20 mm",20.7,19.6,4.5,2.2

"ISO8748length"
"nom","min","max"
"4",3.75,4.25
"5",4.75,5.25
"6",5.75,6.25
"8",7.75,8.25
"10",9.75,10.25
"12",11.5,12.5
"14",13.5,14.5
"16",15.5,16.5
"18",17.5,18.5
"20",19.5,20.5
"22",21.5,22.5
"24",23.5,24.5
"26",25.5,26.5
"28",27.5,28.5
"30",29.5,30.5
"32",31.5,32.5
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.25,55.75
"60",59.25,60.75
"65",64.25,65.75
"70",69.25,70.75
"75",74.25,75.75
"80",79.25,80.75
"85",84.25,85.75
"90",89.25,90.75
"95",94.25,95.75
"100",99.25,100.75
"120",119.25,120.75
"140",139.25,140.75
"160",159.25,160.75
"180",179.25,180.75
"200",199.25,200.75

"ISO8748range"
"Dia","min_L","max_L"
"1.5 mm","4","26"
"2 mm","4","40"
"2.5 mm","5","45"
"3 mm","6","50"
"3.5 mm","6","50"
"4 mm","8","60"
"5 mm","10","60"
"6 mm","12","75"
"8 mm","16","120"
"10 mm","20","120"
"12 mm","24","160"
"14 mm","28","200"
"16 mm","35","200"
"20 mm","45","200"
